,name,email,country,gender,avg_rating,long_tailed,target
0,Collin,qfournier@wanadoo.fr,United Kingdom,F,4,21.560420680758835,0
1,Vallée,ebailly@live.com,Belgium,F,4,21.60752043030023,1
2,Guillon,corinnejoly@club-internet.fr,Belgium,F,4,1.7754349408105456,0
3,Joly,mauricesusanne@bouygtel.fr,United Kingdom,M,0,12.768027545272355,0
4,Rossi,thierryperrin@hotmail.fr,Belgium,M,4,82.63036167716658,0
5,Pottier,charlotte81@live.com,Belgium,F,1,17.742259487700572,0
6,Gay,juliette38@tiscali.fr,United Kingdom,F,0,47.676384853621954,0
7,Pichon,charles80@hotmail.fr,Belgium,M,0,9.562364026432888,0
8,Fouquet,ylacombe@voila.fr,United Kingdom,F,5,6.83271426097224,0
9,Raymond,ple-roux@dbmail.com,France,M,5,81.08291477479216,0
10,Fischer,auberthelene@orange.fr,Belgium,F,3,4.0333518102083294,0
11,Dupuis,suzannedevaux@tele2.fr,United Kingdom,Not Specified,2,54.02658149767116,0
12,Robin,juliendanielle@tiscali.fr,United Kingdom,F,0,3.9992312391722495,0
13,Nicolas,francoise41@dbmail.com,France,F,0,16.236466317757575,0
14,Gimenez,susannemarion@club-internet.fr,United Kingdom,F,0,90.8713783773346,1
15,Hebert,godardsusanne@ifrance.com,Belgium,F,0,58.4268257536591,0
16,Prévost,stephanegonzalez@sfr.fr,United Kingdom,F,5,14.844432327142526,0
17,Lemoine,raymondmargaux@bouygtel.fr,Belgium,F,0,2.171887049631895,0
18,Ollivier,blancmargaret@laposte.net,United Kingdom,M,1,23.586123229632506,0
19,Gérard,fauremartine@ifrance.com,United Kingdom,F,0,8.508066209785598,0
20,Munoz,dorothee33@noos.fr,United Kingdom,M,0,5.867126733543221,0
21,Delorme,catherine75@hotmail.fr,United Kingdom,F,0,24.38595108919286,0
22,Germain,coulonjacqueline@dbmail.com,France,F,3,47.69130523717992,0
23,Aubert,alfredfoucher@bouygtel.fr,United Kingdom,F,0,16.008675159193455,1
24,Ferreira,alixpicard@dbmail.com,United Kingdom,F,0,6.365700742158067,0
25,Launay,rousselsabine@laposte.net,Belgium,F,3,44.957363018920255,0
26,Rocher,benjaminbaudry@hotmail.fr,France,M,0,12.275381465723447,0
27,Michel,bousquetlaurent@yahoo.fr,France,M,0,205.97156168188138,0
28,Michaud,lemaitrevictoire@yahoo.fr,United Kingdom,M,0,137.4062719986464,0
29,Da Silva,leclercqjulien@yahoo.fr,United Kingdom,Not Specified,0,88.28010682291567,0
30,Voisin,nathaliebonnet@voila.fr,Belgium,M,5,26.042625899282054,0
31,Devaux,glegendre@bouygtel.fr,United Kingdom,F,0,3.738376241648646,0
32,Muller,davidjourdan@club-internet.fr,United Kingdom,F,0,7.881116207447994,0
33,Marty,darnaud@wanadoo.fr,United Kingdom,F,0,26.772832264173697,0
34,Bigot,godardeugene@ifrance.com,France,F,0,39.3420828741243,1
35,Bourgeois,agathe79@free.fr,Belgium,M,3,30.18852351935591,0
36,Rocher,paulineboyer@free.fr,France,M,1,10.36977959776818,0
37,Renard,eleonore41@tele2.fr,United Kingdom,F,3,6.170679641067716,0
38,Chartier,alexandregeorges@noos.fr,United Kingdom,F,5,48.898871077844646,0
39,Colas,manon56@bouygtel.fr,France,F,0,6.319995725059552,0
40,Brunet,albertnicole@hotmail.fr,France,M,0,4.42720895887649,1
41,Daniel,devauxroger@laposte.net,France,M,0,180.70954633475824,0
42,Dupuis,nbenard@club-internet.fr,Belgium,F,5,44.69053101954639,0
43,Maillet,jeanne92@club-internet.fr,France,F,0,183.85385878898285,0
44,Chevallier,fgilles@voila.fr,France,Not Specified,0,5.8977120122724225,0
45,Valentin,marthedaniel@free.fr,United Kingdom,F,5,46.72890745084901,0
46,Dupuis,luciepons@ifrance.com,France,F,2,13.678350384594422,0
47,Lacombe,zdavid@noos.fr,France,F,0,37.79592959519149,0
48,Leleu,gaillardcaroline@hotmail.fr,United Kingdom,Not Specified,3,8.994293636207138,0
49,Poirier,carolineevrard@tiscali.fr,Belgium,M,0,10.078961406343762,0
50,Guilbert,morelclemence@dbmail.com,United Kingdom,M,0,36.9531462593282,0
51,Langlois,zgirard@noos.fr,Belgium,M,3,42.90258820409467,0
52,Roche,pagesgilles@voila.fr,France,F,0,13.793152936594996,0
53,Maréchal,agomes@sfr.fr,United Kingdom,F,1,25.225383424228543,1
54,Garcia,parenteleonore@yahoo.fr,Belgium,M,2,21.97584284192682,0
55,Aubert,raynaudmanon@sfr.fr,France,F,0,9.912088473755812,0
